"id","name","product_id","farmer_outlet_id","product_name","image_path","description","product_quality_id","product_quality_name","created_by","created_at","updated_at"
"38","ស្រូវផ្កាខ្ញី","3","35","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 07","2024-04-24 14:05:45","2024-04-24 14:05:45"
"39","ស្រូវផ្កាខ្ញី","3","36","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 07","2024-04-24 14:06:46","2024-04-24 14:06:46"
"40","ស្រូវផ្កាខ្ញី","3","37","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 08","2024-04-24 14:08:23","2024-04-24 14:08:23"
"41","ស្រូវផ្កាខ្ញី","3","38","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 08","2024-04-24 14:09:14","2024-04-24 14:09:14"
"42","ស្រូវផ្កាខ្ញី","3","39","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 08","2024-04-24 14:10:13","2024-04-24 14:10:13"
"43","ស្រូវផ្កាខ្ញី","3","40","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 08","2024-04-24 14:11:09","2024-04-24 14:11:09"
"44","ស្រូវផ្កាខ្ញី","3","41","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 08","2024-04-24 14:12:01","2024-04-24 14:12:01"
"45","ស្រូវផ្កាខ្ញី","3","42","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 09","2024-04-24 14:13:26","2024-04-24 14:13:26"
"46","ស្រូវផ្កាខ្ញី","3","43","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 09","2024-04-24 14:14:28","2024-04-24 14:14:28"
"47","ស្រូវផ្កាខ្ញី","3","44","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 09","2024-04-24 14:16:28","2024-04-24 14:16:28"
"48","ស្រូវផ្កាខ្ញី","3","45","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 09","2024-04-24 14:17:31","2024-04-24 14:17:31"
"49","ស្រូវផ្កាខ្ញី","3","46","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","Report 09","2024-04-24 14:18:23","2024-04-24 14:18:23"
